rank,idx,p6,p12,p7,p1,p3,p2,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
1,1252,38.3,-40,59.9,13,41.5,48,1,2.39002,55.7287,26,25.5883,-90.0809,0.672931
2,1258,39.3,-39,59.9,13,41.5,48,1,2.06355,57.7797,26,22.547,-90.8612,0.580666
3,8139,40.3,-38,59.9,13,42.5,50,1,2.28013,59.8938,26,24.7444,-91.6576,0.573987
4,8764,40.3,-38,59.9,13,43.5,50,1,2.36269,59.9374,26,12.5684,-91.5707,0.721659
5,11883,39.3,-39,59.9,13,43.5,51,1,2.27265,57.7748,26,27.3612,-90.8986,0.607872
6,11889,40.3,-38,59.9,13,43.5,51,1,1.83026,59.915,26,24.4546,-91.6539,0.498022
7,5002,38.3,-40,59.9,13,42.5,49,1,2.46877,55.7422,25,25.2002,-90.0866,0.656926
8,5008,39.3,-39,59.9,13,42.5,49,1,2.2175,57.7926,25,20.2416,-90.8574,0.603672
9,8133,39.3,-39,59.9,13,42.5,50,1,2.70298,57.7531,25,27.6683,-90.8921,0.701212
10,8134,40.3,-39,59.9,13,42.5,50,1,1.97844,58.4044,25,21.4517,-91.7666,0.565087
