rank,idx,p6,p12,p7,p1,p3,p2,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
1,12566,37.3,-37,61.9,13,39.5,52,1,117.559,103.976,0,0,-50.9029,39.1112
2,9481,37.3,-39,63.9,13,39.5,51,1,121.264,97.9745,1,3.63075,-53.0315,39.0814
3,12686,37.3,-38,61.9,14,39.5,52,1,118.148,105.074,0,0,-51.4459,38.994
4,13231,37.3,-39,63.9,13,40.5,52,1,116.974,97.3996,2,7.30552,-53.462,38.8583
5,12806,37.3,-39,61.9,15,39.5,52,1,118.82,106.178,0,0,-51.902,38.8571
6,12586,37.3,-38,62.9,13,39.5,52,1,115.015,101.703,0,0,-51.6462,38.7945
7,13351,37.3,-40,63.9,14,40.5,52,1,119.903,98.5983,2,7.52288,-53.9002,38.7702
8,12706,37.3,-39,62.9,14,39.5,52,1,115.203,102.833,0,0,-52.1895,38.6434
9,12826,37.3,-40,62.9,15,39.5,52,1,115.236,103.854,0,0,-52.6583,38.4482
10,6316,37.3,-37,61.9,13,39.5,50,1,118.62,101.004,0,0,-53.2926,38.3667
