rank,idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y,step_height_plus_longest
1,131614,40.3,-38,63.9,15,39.5,50,37.7,38.4,1,31.0406,88.6036,9,54.5395,-87.2375,8.41092,85.58
2,60655,41.3,-40,60.9,13,41.5,52,37.7,37.4,1,3.62349,57.5736,20,51.4856,-92.5935,1.16655,55.1091
3,35004,40.3,-40,59.9,13,40.5,49,36.7,37.4,1,6.48718,56.9063,16,51.3644,-91.1472,1.9916,57.8516
4,183754,40.3,-40,59.9,13,43.5,51,35.7,39.4,1,5.08097,56.9223,17,51.2448,-91.4076,1.60036,56.3257
5,180004,40.3,-40,59.9,13,42.5,50,35.7,39.4,1,4.4929,56.9214,19,51.1429,-91.4631,1.43818,55.6358
6,337005,41.3,-40,59.9,14,43.5,50,35.7,41.4,1,5.63042,61.9734,15,51.0245,-91.6879,1.74782,56.6549
7,116879,40.3,-40,59.9,13,41.5,50,36.7,38.4,1,3.80795,56.9284,19,51.0148,-91.6123,1.21819,54.8228
8,120629,40.3,-40,59.9,13,42.5,51,36.7,38.4,1,4.24562,56.9315,18,50.9093,-91.5745,1.34873,55.1549
9,314379,40.3,-40,59.9,13,42.5,48,34.7,41.4,1,3.72614,56.9366,19,50.9059,-91.6389,1.19226,54.632
10,53754,40.3,-40,59.9,13,40.5,50,37.7,37.4,1,3.35381,56.9352,19,50.8602,-91.7284,1.06965,54.214
