rank,idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y,step_height_plus_longest
1,28006,37.3,-39,59.9,17,43.5,51,35.7,37.4,1,39.8866,73.3785,5,9.24094,-82.1777,8.56701,49.1276
2,24276,37.3,-40,60.9,17,42.5,50,35.7,37.4,1,40.7046,71.6285,4,8.12815,-82.2163,8.67944,48.8328
3,28026,37.3,-40,60.9,17,43.5,51,35.7,37.4,1,38.0096,71.6681,3,8.06759,-82.3093,8.18904,46.0772
4,162381,37.3,-39,59.9,17,43.5,49,34.7,39.4,1,40.0985,73.4104,5,8.88051,-82.3377,8.87919,48.979
5,158651,37.3,-40,60.9,17,42.5,48,34.7,39.4,1,41.3839,71.6236,6,12.4582,-82.362,9.08197,53.8421
6,78626,37.3,-40,59.9,17,39.5,48,34.7,38.4,1,33.5225,71.1299,4,10.4394,-82.3736,8.35344,43.9619
7,162401,37.3,-40,60.9,17,43.5,49,34.7,39.4,1,39.0287,71.6935,5,7.77472,-82.5015,8.61536,46.8035
8,99256,37.3,-39,59.9,17,42.5,49,35.7,38.4,1,39.7801,73.4602,5,8.726,-82.5084,8.74012,48.5061
9,93001,37.3,-40,59.9,17,42.5,52,34.7,38.4,1,33.4155,71.1815,5,10.0701,-82.5474,8.3573,43.4855
10,95526,37.3,-40,60.9,17,41.5,48,35.7,38.4,1,40.8351,71.646,6,12.2594,-82.5529,8.89217,53.0945
