rank,idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y,step_height_plus_longest
1,307530,41.3,-40,60.9,13,41.5,51,38.7,40.4,1,1.52781,57.6299,32,39.7719,-93.2435,0.51242,41.2997
2,378780,41.3,-40,60.9,13,40.5,49,38.7,41.4,1,1.75583,57.6368,32,31.8649,-93.3132,0.554691,33.6207
3,222515,41.3,-38,59.9,13,40.5,49,38.7,39.4,1,1.53723,60.5863,31,34.8992,-92.8865,0.448356,36.4365
4,233180,41.3,-40,61.9,13,42.5,52,38.7,39.4,1,2.02021,57.6663,31,20.7802,-93.0939,0.575608,22.8004
5,285640,41.3,-38,59.9,13,41.5,49,37.7,40.4,1,1.41494,60.5845,31,35.0629,-92.8526,0.419246,36.4779
6,296285,41.3,-39,60.9,13,43.5,52,37.7,40.4,1,1.20299,59.1005,31,33.5901,-92.9867,0.321772,34.793
7,296305,41.3,-40,61.9,13,43.5,52,37.7,40.4,1,2.01741,57.6607,31,21.1666,-93.0534,0.595658,23.184
8,304379,40.3,-40,59.9,13,41.5,50,38.7,40.4,1,1.59379,57.004,31,32.3401,-92.3178,0.585339,33.9339
9,308135,41.3,-39,59.9,13,42.5,51,38.7,40.4,1,1.98476,59.0802,31,33.9335,-93.099,0.673581,35.9183
10,348765,41.3,-38,59.9,13,42.5,49,36.7,41.4,1,1.2932,60.5843,31,35.2433,-92.822,0.398591,36.5365
