rank,idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y,step_height_plus_longest
1,168231,37.3,-39,63.9,13,43.5,51,34.7,39.4,1,45.9586,55.5229,8,21.6033,-84.2944,11.4911,67.5619
2,239487,38.3,-38,63.9,13,42.5,49,34.7,40.4,1,45.2459,57.6509,7,22.2523,-85.2173,11.3779,67.4982
3,261981,37.3,-39,63.9,13,43.5,51,35.7,40.4,1,45.1868,55.7483,6,17.8581,-84.514,11.3037,63.0449
4,314467,38.3,-37,62.9,13,42.5,48,34.7,41.4,1,44.649,59.221,5,15.245,-85.2102,11.2978,59.894
5,321374,40.3,-36,63.9,13,43.5,50,34.7,41.4,1,44.6488,62.1531,6,19.9234,-86.962,11.2669,64.5722
6,93243,39.3,-37,63.9,13,43.5,52,34.7,38.4,1,45.5638,59.6243,8,23.6097,-85.9713,11.2592,69.1734
7,11356,37.3,-39,63.9,13,42.5,51,34.7,37.4,1,45.5819,55.3778,8,14.6924,-84.2522,11.2588,60.2743
8,314481,37.3,-39,63.9,13,42.5,48,34.7,41.4,1,44.3761,55.7032,7,21.2,-84.4865,11.2578,65.576
9,168237,38.3,-38,63.9,13,43.5,51,34.7,39.4,1,44.8368,57.6061,8,22.4387,-85.2321,11.2353,67.2755
10,235749,40.3,-36,63.9,13,41.5,48,34.7,40.4,1,44.6347,62.0253,6,20.1369,-86.9037,11.2161,64.7715
