rank,idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y,step_height_plus_longest
1,73475,41.3,-36,62.9,15,41.5,51,38.7,37.4,1,46.4634,114.009,9,30.5811,-88.0678,8.9709,77.0444
2,168231,37.3,-39,63.9,13,43.5,51,34.7,39.4,1,45.9586,55.5229,8,21.6033,-84.2944,11.4911,67.5619
3,69745,41.3,-37,63.9,15,40.5,50,38.7,37.4,1,45.6352,111.173,7,16.5128,-88.1661,8.93546,62.1479
4,11356,37.3,-39,63.9,13,42.5,51,34.7,37.4,1,45.5819,55.3778,8,14.6924,-84.2522,11.2588,60.2743
5,93243,39.3,-37,63.9,13,43.5,52,34.7,38.4,1,45.5638,59.6243,8,23.6097,-85.9713,11.2592,69.1734
6,168357,38.3,-39,63.9,14,43.5,51,34.7,39.4,1,45.5409,60.65,8,15.5294,-84.9057,11.0011,61.0703
7,321494,40.3,-37,63.9,14,43.5,50,34.7,41.4,1,45.3418,65.3032,8,24.7094,-86.6296,11.0491,70.0512
8,69979,40.3,-40,63.9,17,40.5,50,38.7,37.4,1,45.2998,111.929,8,17.3737,-85.9682,8.52263,62.6735
9,239487,38.3,-38,63.9,13,42.5,49,34.7,40.4,1,45.2459,57.6509,7,22.2523,-85.2173,11.3779,67.4982
10,239733,39.3,-39,63.9,15,42.5,49,34.7,40.4,1,45.2023,65.9243,7,13.0601,-85.356,10.5713,58.2623
