rank,idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y,step_height_plus_longest
1,131614,40.3,-38,63.9,15,39.5,50,37.7,38.4,1,31.0406,88.6036,9,54.5395,-87.2375,8.41092,85.58
2,73475,41.3,-36,62.9,15,41.5,51,38.7,37.4,1,46.4634,114.009,9,30.5811,-88.0678,8.9709,77.0444
3,364354,40.3,-40,63.9,17,41.5,49,37.7,41.4,1,41.8599,74.5979,12,33.4565,-86.0338,9.22745,75.3164
4,314727,38.3,-40,63.9,15,42.5,48,34.7,41.4,1,44.2075,6 3.6963,12,30.623,-84.7697,10.5343,74.8305
5,368104,40.3,-40,63.9,17,42.5,50,37.7,41.4,1,38.3514,74.694,12,36.3223,-86.2021,8.69788,74.6737
6,135604,40.3,-40,63.9,17,40.5,51,37.7,38.4,1,26.9541,84.7089,10,47.6801,-86.2906,7.18559,74.6342
7,353078,39.3,-40,62.9,17,43.5,50,36.7,41.4,1,38.4032,73.8003,13,36.0724,-85.168,8.74676,74.4756
8,349328,39.3,-40,62.9,17,42.5,49,36.7,41.4,1,41.1337,73.7012,12,33.1929,-85.0141,9.21055,74.3266
9,371854,40.3,-40,63.9,17,43.5,51,37.7,41.4,1,35.6734,74.7797,13,38.4132,-86.3311,8.28608,74.0865
10,251602,38.3,-40,63.9,15,41.5,48,35.7,40.4,1,43.2793,63.7471,11,30.521,-84.9158,10.2419,73.8003
