rank,idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y,step_height_plus_longest
1,141195,41.3,-37,61.9,17,39.5,48,38.7,38.4,1,39.1998,116.945,9,18.8892,-86.7682,7.64972,58.089
2,151840,41.3,-38,62.9,17,41.5,51,38.7,38.4,1,42.4224,116.243,8,15.3109,-86.8681,8.16614,57.7333
3,47445,41.3,-37,61.9,17,39.5,48,37.7,37.4,1,38.1783,116.08,5,10.1837,-86.1395,7.29102,48.362
4,75565,41.3,-38,61.9,17,39.5,52,38.7,37.4,1,29.7974,114.433,9,28.6905,-87.8024,5.8877,58.4879
5,73475,41.3,-36,62.9,15,41.5,51,38.7,37.4,1,46.4634,114.009,9,30.5811,-88.0678,8.9709,77.0444
6,75539,40.3,-38,60.9,17,39.5,52,38.7,37.4,1,28.201,113.024,10,23.2037,-86.7964,6.02474,51.4047
7,148110,41.3,-39,63.9,17,40.5,50,38.7,38.4,1,40.9415,112.692,8,18.2713,-87.0009,8.0381,59.2128
8,69979,40.3,-40,63.9,17,40.5,50,38.7,37.4,1,45.2998,111.929,8,17.3737,-85.9682,8.52263,62.6735
9,54360,41.3,-39,63.9,17,40.5,50,37.7,37.4,1,40.0897,111.835,5,8.6104,-86.3373,7.71476,48.7001
10,144899,40.3,-36,59.9,17,40.5,49,38.7,38.4,1,29.7825,111.739,9,23.4945,-85.9563,6.68179,53.277
