rank,idx,p6,p12,p7,p1,p3,p2,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
1,12566,37.3,-37,61.9,13,39.5,52,1,117.559,103.976,0,0,-50.9029,39.1112
2,12686,37.3,-38,61.9,14,39.5,52,1,118.148,105.074,0,0,-51.4459,38.994
3,12586,37.3,-38,62.9,13,39.5,52,1,115.015,101.703,0,0,-51.6462,38.7945
4,9521,37.3,-36,59.9,14,39.5,51,1,115.955,108.313,0,0,-51.7149,37.8774
5,12806,37.3,-39,61.9,15,39.5,52,1,118.82,106.178,0,0,-51.902,38.8571
6,9641,37.3,-37,59.9,15,39.5,51,1,116.401,109.507,0,0,-52.1311,37.7376
7,12706,37.3,-39,62.9,14,39.5,52,1,115.203,102.833,0,0,-52.1895,38.6434
8,9761,37.3,-38,59.9,16,39.5,51,1,116.98,110.616,0,0,-52.4719,37.5852
9,12926,37.3,-40,61.9,16,39.5,52,1,114.015,108.078,0,0,-52.6022,38.056
10,12826,37.3,-40,62.9,15,39.5,52,1,115.236,103.854,0,0,-52.6583,38.4482
