rank,idx,p6,p12,p7,p1,p3,p2,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
1,9481,37.3,-39,63.9,13,39.5,51,1,121.264,97.9745,1,3.63075,-53.0315,39.0814
2,13351,37.3,-40,63.9,14,40.5,52,1,119.903,98.5983,2,7.52288,-53.9002,38.7702
3,12806,37.3,-39,61.9,15,39.5,52,1,118.82,106.178,0,0,-51.902,38.8571
4,6316,37.3,-37,61.9,13,39.5,50,1,118.62,101.004,0,0,-53.2926,38.3667
5,10046,37.3,-36,60.9,13,40.5,51,1,118.552,102.738,0,0,-53.259,38.0457
6,10306,37.3,-39,61.9,15,40.5,51,1,118.338,102.695,1,3.94831,-54.4694,37.895
7,6576,37.3,-40,62.9,15,39.5,50,1,118.173,100.961,3,11.8157,-54.5278,38.1515
8,12686,37.3,-38,61.9,14,39.5,52,1,118.148,105.074,0,0,-51.4459,38.994
9,12566,37.3,-37,61.9,13,39.5,52,1,117.559,103.976,0,0,-50.9029,39.1112
10,14102,38.3,-40,63.9,15,41.5,52,1,117.33,99.0754,5,19.929,-56.3527,38.3267
