rank,idx,p6,p12,p7,p1,p3,p2,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
1,14647,38.3,-36,59.9,15,42.5,52,1,53.2424,121.548,1,7.71224,-74.2752,15.1122
2,13677,38.3,-40,61.9,17,40.5,52,1,69.9741,117.114,5,17.36,-71.8341,17.8063
3,3651,37.3,-40,60.9,17,39.5,49,1,55.1534,113.976,5,17.0132,-72.0106,16.1045
4,9881,37.3,-39,59.9,17,39.5,51,1,111.457,113.265,0,0,-53.0803,36.7284
5,14036,37.3,-38,60.9,15,41.5,52,1,52.4854,112.69,1,7.30271,-73.0522,15.5879
6,9827,38.3,-40,62.9,16,39.5,51,1,70.5647,111.112,4,12.4605,-72.6828,17.5961
7,7381,37.3,-39,59.9,17,40.5,50,1,55.7244,111.102,1,7.75809,-71.7962,16.0061
8,9761,37.3,-38,59.9,16,39.5,51,1,116.98,110.616,0,0,-52.4719,37.5852
9,6782,38.3,-39,60.9,17,39.5,50,1,61.4589,110.478,3,8.85512,-71.8224,17.148
10,13026,37.3,-40,60.9,17,39.5,52,1,56.0503,109.833,1,7.75812,-71.7772,15.2755
