idx,p6,p12,p7,p1,p3,p2,p8,p9,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
146756,37.3,-39,59.9,17,43.5,49,38.7,38.4,1,22.5332,74.596,17,3.371450e+01,-84.0715,5.74036
221756,37.3,-39,59.9,17,43.5,48,38.7,39.4,1,22.7153,74.7359,16,3.725331e+01,-84.1864,5.80082
337388,39.3,-38,59.9,17,43.5,50,35.7,41.4,1,22.3737,77.0861,11,2.705754e+01,-85.7047,5.8039
117376,37.3,-40,59.9,17,41.5,50,36.7,38.4,1,22.3784,71.6109,9,3.002160e+01,-84.0942,5.81456
143006,37.3,-39,59.9,17,42.5,48,38.7,38.4,1,22.8696,74.5476,18,3.414818e+01,-84.0569,5.81877
333644,40.3,-37,59.9,17,42.5,49,35.7,41.4,1,22.5893,79.8065,8,2.843432e+01,-86.2442,5.84243
333658,39.3,-39,60.9,17,42.5,49,35.7,41.4,1,22.3432,75.1921,12,3.106784e+01,-85.8506,5.867
255501,37.3,-40,59.9,17,42.5,49,35.7,40.4,1,22.5381,71.6802,11,2.935160e+01,-84.2228,5.87167
224887,38.3,-38,59.9,17,43.5,49,38.7,39.4,1,22.4484,77.39,17,3.550451e+01,-84.8876,5.87866
274257,38.3,-39,59.9,17,42.5,50,36.7,40.4,1,22.625,74.3614,11,2.585033e+01,-85.0923,5.88061
218027,38.3,-40,60.9,17,42.5,52,37.7,39.4,1,22.3289,72.5641,11,2.534483e+01,-85.332,5.88351
75565,41.3,-38,61.9,17,39.5,52,38.7,37.4,1,29.7974,114.433,9,2.869050e+01,-87.8024,5.8877
146137,38.3,-38,59.9,17,42.5,49,38.7,38.4,1,22.9688,77.1735,18,3.723308e+01,-84.7631,5.89503
214283,39.3,-39,60.9,17,41.5,51,37.7,39.4,1,22.3191,75.0857,11,2.649373e+01,-85.9892,5.89657
149268,39.3,-37,59.9,17,42.5,50,38.7,38.4,1,22.6486,79.8629,13,3.118903e+01,-85.4686,5.89664
270527,38.3,-40,60.9,17,41.5,49,36.7,40.4,1,22.4397,72.5669,12,2.957677e+01,-85.2351,5.90656
299887,38.3,-38,59.9,17,43.5,48,38.7,40.4,1,22.5656,77.5473,15,3.887079e+01,-85,5.92357
128652,38.3,-40,60.9,17,39.5,49,37.7,38.4,1,22.4795,72.3785,10,3.030757e+01,-85.1057,5.92862
63637,38.3,-38,59.9,17,40.5,48,38.7,37.4,1,23.3336,76.8624,13,3.455887e+01,-84.6344,5.94012
251757,38.3,-39,59.9,17,41.5,48,35.7,40.4,1,22.9345,74.1861,10,3.100914e+01,-84.7997,5.94177
362425,41.3,-36,60.9,17,43.5,48,37.7,41.4,1,22.3555,84.1694,14,3.631192e+01,-86.9968,5.94455
266783,39.3,-39,60.9,17,40.5,48,36.7,40.4,1,22.6735,75.0924,11,2.674174e+01,-85.8476,5.95205
136126,37.3,-40,59.9,17,41.5,51,37.7,38.4,1,22.8756,71.5854,10,2.518296e+01,-84.2891,5.95512
228018,39.3,-37,59.9,17,43.5,50,38.7,39.4,1,23.0555,80.1137,13,3.054577e+01,-85.5572,5.96549
203001,37.3,-40,59.9,17,43.5,52,36.7,39.4,1,22.9521,71.6602,11,2.510706e+01,-84.2665,5.96614
281158,39.3,-39,60.9,17,43.5,52,36.7,40.4,1,22.7497,75.1625,11,2.646374e+01,-85.9174,5.9673
188626,37.3,-40,59.9,17,40.5,48,36.7,39.4,1,22.9747,71.6031,10,2.947169e+01,-84.185,5.97113
74881,37.3,-39,59.9,17,43.5,51,38.7,37.4,1,23.7798,74.3268,18,3.558045e+01,-83.9577,5.97253
277428,39.3,-40,61.9,17,42.5,51,36.7,40.4,1,22.4711,73.358,12,3.032009e+01,-86.0694,5.98329
78012,38.3,-38,59.9,17,43.5,52,38.7,37.4,1,23.4337,76.8977,13,3.410978e+01,-84.6807,5.98395
273670,41.3,-37,60.9,17,41.5,50,36.7,40.4,1,22.7785,80.5207,8,2.905677e+01,-87.0961,5.98434
67886,37.3,-38,59.9,16,42.5,49,38.7,37.4,1,22.5377,71.7852,16,3.674045e+01,-84.6306,5.98546
262402,38.3,-40,60.9,17,43.5,51,35.7,40.4,1,22.7918,72.4756,10,3.024210e+01,-85.0114,5.98627
284268,39.3,-37,59.9,17,43.5,48,37.7,40.4,1,23.306,80.1984,17,3.869647e+01,-85.4394,5.98676
221137,38.3,-38,59.9,17,42.5,48,38.7,39.4,1,23.2382,77.3298,17,3.591271e+01,-84.8601,5.98818
231149,40.3,-36,59.9,17,43.5,51,38.7,39.4,1,22.9209,82.8972,11,2.761269e+01,-86.2184,5.99098
132382,38.3,-39,59.9,17,40.5,50,37.7,38.4,1,22.9516,74.099,9,2.635576e+01,-84.9385,5.99121
273684,40.3,-39,61.9,17,41.5,50,36.7,40.4,1,22.5685,75.9071,12,3.189242e+01,-86.6861,5.99198
57382,38.3,-39,59.9,17,40.5,51,37.7,37.4,1,22.8534,74.0263,8,2.685231e+01,-84.8064,5.99312
277414,40.3,-38,60.9,17,42.5,51,36.7,40.4,1,22.899,77.7907,9,2.771885e+01,-86.5151,5.99829
371178,39.3,-40,61.9,17,42.5,51,37.7,41.4,1,22.6399,73.592,11,2.529411e+01,-86.4065,5.99942
318626,37.3,-40,59.9,17,43.5,49,34.7,41.4,1,23.0682,71.6547,10,2.943091e+01,-84.1634,6.00527
224907,38.3,-39,60.9,17,43.5,49,38.7,39.4,1,23.2738,75.4675,17,3.380594e+01,-84.9754,6.00561
317377,38.3,-40,59.9,17,41.5,49,34.7,41.4,1,22.4106,72.1299,8,2.660299e+01,-84.9858,6.00622
262388,39.3,-38,59.9,17,43.5,51,35.7,40.4,1,23.323,76.854,9,2.774224e+01,-85.4178,6.01293
231169,40.3,-37,60.9,17,43.5,51,38.7,39.4,1,22.7126,80.8702,13,3.134501e+01,-86.4063,6.01887
66674,40.3,-36,60.9,16,40.5,49,38.7,37.4,1,23.9774,97.6614,10,2.734005e+01,-87.0138,6.02049
221636,37.3,-38,59.9,16,43.5,48,38.7,39.4,1,22.3219,72.2326,16,3.073737e+01,-84.8108,6.02606
61126,37.3,-40,59.9,17,41.5,52,37.7,37.4,1,23.1819,71.5274,9,2.562542e+01,-84.1342,6.02977
142387,38.3,-38,59.9,17,41.5,48,38.7,38.4,1,23.8514,77.1013,17,3.692614e+01,-84.7254,6.03245
