rank,idx,p6,p12,p7,p1,p3,p2,ok,step_height,step_length,stable_pairs,longest_streak,mean_y,std_y
1,15130,41.3,-40,59.9,14,43.5,52,1,7.00028,61.9537,14,50.7531,-91.4343,2.10661
2,629,40.3,-40,59.9,13,40.5,48,1,2.99878,56.9437,22,49.8103,-91.811,0.950367
3,15004,40.3,-40,59.9,13,43.5,52,1,2.72263,56.9522,22,49.6763,-91.8641,0.89972
4,4379,40.3,-40,59.9,13,41.5,49,1,3.28143,56.9509,19,49.6419,-91.7959,1.04175
5,635,41.3,-39,59.9,13,40.5,48,1,3.57438,58.987,18,48.142,-92.5022,1.15712
6,15010,41.3,-39,59.9,13,43.5,52,1,3.44315,58.9946,18,48.1273,-92.55,1.10728
7,4385,41.3,-39,59.9,13,41.5,49,1,4.09277,58.9934,17,48.0049,-92.4709,1.27339
8,11260,41.3,-39,59.9,13,42.5,51,1,3.19786,58.9862,20,47.2855,-92.5835,1.0022
9,7530,41.3,-40,60.9,13,41.5,50,1,3.23597,57.581,22,45.6512,-92.669,1.04273
10,7630,41.3,-40,59.9,14,41.5,50,1,5.74054,61.9574,16,44.9698,-91.5723,1.75611
